"2010 American League Standings
2010 All-Star Game | 2010 A.L. Team Standings | 2010 World Series"
East,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Tampa Bay Rays,96,66,0,.593,--,"$71,923,471"
New York Yankees,95,67,0,.586,1,"$206,333,389"
Boston Red Sox,89,73,0,.549,7,"$162,747,333"
Toronto Blue Jays,85,77,0,.525,11,"$62,689,357"
Baltimore Orioles,66,96,0,.407,30,"$81,612,500"
Central,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Minnesota Twins,94,68,0,.580,--,"$97,559,167"
Chicago White Sox,88,74,0,.543,6,"$108,273,197"
Detroit Tigers,81,81,0,.500,13,"$122,864,929"
Cleveland Indians,69,93,0,.426,25,"$61,203,967"
Kansas City Royals,67,95,0,.414,27,"$72,267,710"
West,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Texas Rangers,90,72,0,.556,--,"$55,250,545"
Oakland Athletics,81,81,0,.500,9,"$51,654,900"
Los Angeles Angels,80,82,0,.494,10,"$105,013,667"
Seattle Mariners,61,101,0,.377,29,"$98,376,667"
A.L.,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2010 American League Final Standings
