"2024 American League Team Standings
2024 All-Star Game | 2024 Team Standings | 2024 World Series"
East,Team | Roster,W,L,T,WP,GB
New York Yankees,94,68,0,.580,-
Baltimore Orioles,91,71,0,.562,3.0
Boston Red Sox,81,81,0,.500,13.0
Tampa Bay Rays,80,82,0,.494,14.0
Toronto Blue Jays,74,88,0,.457,20.0
Central,Team | Roster,W,L,T,WP,GB
Cleveland Guardians,92,69,0,.571,-
Kansas City Royals,86,76,0,.531,6.5
Detroit Tigers,86,76,0,.531,6.5
Minnesota Twins,82,80,0,.506,10.5
Chicago White Sox,41,121,0,.253,51.5
West,Team | Roster,W,L,T,WP,GB
Houston Astros,88,73,0,.547,-
Seattle Mariners,85,77,0,.525,3.5
Texas Rangers,78,84,0,.481,10.5
Oakland Athletics,69,93,0,.426,19.5
Los Angeles Angels,63,99,0,.389,25.5
A.L.,Team | Roster,W,L,T,WP,GB
2024 American League Standings
